ir_level;red_level;temperature
40164;39722;36.77777778
40172;39728;36.77777778
40156;39724;36.83333333
40166;39724;36.83333333
40153;39729;36.88888889
40169;39723;36.88888889
40154;39727;36.88888889
40165;39711;36.94444444
40186;39725;36.94444444
40180;39737;37
40190;39716;37
40206;39731;37
40207;39726;37
40201;39721;37
40205;39721;37
40193;39680;37.05555556
40139;39675;37.05555556
40090;39656;37.11111111
40040;39606;37.11111111
39945;39581;37.11111111
39870;39543;37.16666667
39785;39512;37.22222222
39690;39475;37.22222222
39625;39422;37.22222222
39559;39406;37.27777778
39490;39362;37.33333333
39446;39349;37.38888889
39405;39316;37.44444444
39376;39326;37.5
39364;39313;35.77777778
39336;39287;35.94444444
39313;39274;36
39294;39278;36.22222222
39295;39265;36.22222222
39294;39273;36.33333333
39296;39249;36.44444444
39282;39258;36.5
39269;39268;36.55555556
39271;39262;36.55555556
39276;39245;36.55555556
39295;39256;36.61111111
39295;39253;36.61111111
39319;39270;36.61111111
39316;39265;36.66666667
39322;39270;36.66666667
39322;39270;36.66666667
39348;39282;36.88888889
39336;39268;36.94444444
39352;39269;36.94444444
39358;39257;37
39357;39263;37
39359;39260;37
39354;39259;36.77777778
39364;39258;36.77777778
39370;39275;36.77777778
39370;39258;36.83333333
39358;39267;37.33333333
39344;39248;37.38888889
39343;39246;37.44444444
39331;39255;37.5
39338;39245;35.77777778
39323;39258;35.94444444
39324;39260;36
39334;39243;36.22222222
39334;39229;36.22222222
39338;39247;36.33333333
39338;39238;36.44444444
39351;39231;36.61111111
39373;39231;36.61111111
39375;39255;36.61111111
39379;39249;36.83333333
39388;39246;36.88888889
39395;39246;36.88888889
39414;39251;36.88888889
39416;39264;36.94444444
39445;39264;36.94444444
39434;39283;37
39441;39253;37.27777778
39460;39252;37.33333333
