ir_level;red_level;temperature
39473;39269;37.33333333
39475;39269;37.38888889
39480;39270;37.44444444
39491;39261;37.72222222
39492;39277;37.77777778
39499;39277;38.22222222
39499;39284;37.05555556
39498;39271;37.05555556
39515;39257;36.88888889
39523;39292;36.94444444
39528;39286;36.94444444
39531;39282;37
39534;39284;37
39548;39290;37
39554;39276;37.11111111
39548;39293;37.16666667
39564;39291;37.22222222
39586;39285;36.88888889
39584;39302;36.94444444
39609;39295;36.94444444
39608;39288;37
39611;39291;37
39589;39282;36.88888889
39559;39252;36.94444444
39525;39231;36.94444444
39475;39194;37
39400;39154;37
39319;39128;37
39238;39097;37.11111111
39155;39043;37.11111111
39074;39014;37.11111111
39009;38966;37.11111111
38959;38965;37.11111111
38897;38950;37.11111111
38860;38908;37.16666667
38824;38905;37.22222222
38787;38881;37.22222222
38770;38884;36.55555556
38760;38868;36.55555556
38742;38858;36.55555556
38725;38850;36.61111111
38711;38834;36.61111111
38708;38836;36.61111111
38710;38825;36.66666667
38698;38818;36.66666667
38683;38824;36.66666667
38680;38836;36.66666667
38658;38844;36.66666667
38674;38839;37.27777778
38685;38836;37.33333333
38703;38841;37.33333333
38708;38837;37.38888889
38730;38838;37.44444444
38732;38844;37.72222222
38749;38873;37.77777778
38745;38855;38.22222222
38734;38862;37.05555556
38740;38839;37.05555556
38754;38839;37.11111111
38755;38844;37.11111111
38743;38834;37.11111111
38756;38822;37.11111111
38751;38831;37.11111111
38739;38828;37.11111111
38740;38820;37.11111111
38742;38814;37.16666667
38737;38818;37.22222222
38727;38826;37.22222222
38734;38815;36.55555556
38742;38812;36.55555556
38730;38823;36.55555556
38752;38821;36.61111111
38759;38830;36.61111111
38775;38806;36.61111111
38777;38832;36.66666667
38778;38828;36.66666667
38796;38817;36.83333333
38793;38818;36.88888889
38812;38839;36.88888889
38822;38843;36.88888889
